Problema,Restriccion,Fitness
R01,juarez-centroide,444.8848862
R01,juarez-centroide,459.2721608
R01,juarez-centroide,399.2354381
R01,juarez-centroide,730.8864027
R01,juarez-centroide,312.7073026
R01,juarez-centroide,503.9416962
R01,juarez-centroide,402.7855666
R01,juarez-centroide,948.0895609
R01,juarez-centroide,298.8453919
R01,juarez-centroide,453.9272188
R01,juarez-centroide,594.2218518
R01,juarez-centroide,315.2830431
R01,juarez-centroide,417.4028765
R01,juarez-centroide,312.4364747
R01,juarez-centroide,377.5387972
R01,juarez-centroide,267.4661161
R01,juarez-centroide,307.7287207
R01,juarez-centroide,433.3441424
R01,juarez-centroide,693.942269
R01,juarez-centroide,720.9523182
R01,juarez-centroide,348.4357017
R01,juarez-centroide,228.5375543
R01,juarez-centroide,625.0817085
R01,juarez-centroide,344.2173733
R01,juarez-centroide,267.9825541
R01,adham-clamp,278.2240893
R01,adham-clamp,206.9651017
R01,adham-clamp,294.1261526
R01,adham-clamp,387.5839437
R01,adham-clamp,241.7671079
R01,adham-clamp,319.7660038
R01,adham-clamp,588.69176
R01,adham-clamp,406.3094493
R01,adham-clamp,708.7790786
R01,adham-clamp,221.9653136
R01,adham-clamp,339.9253096
R01,adham-clamp,223.7343464
R01,adham-clamp,695.9410074
R01,adham-clamp,583.5429664
R01,adham-clamp,718.0065586
R01,adham-clamp,283.0246651
R01,adham-clamp,707.7258131
R01,adham-clamp,267.3889444
R01,adham-clamp,553.6917675
R01,adham-clamp,269.3011133
R01,adham-clamp,241.9598613
R01,adham-clamp,740.628457
R01,adham-clamp,412.0551822
R01,adham-clamp,713.3526532
R01,adham-clamp,301.0967897
R01,adham-shrink,719.1036649
R01,adham-shrink,351.437338
R01,adham-shrink,259.8776222
R01,adham-shrink,514.7380449
R01,adham-shrink,417.8574242
R01,adham-shrink,221.9467237
R01,adham-shrink,509.0852841
R01,adham-shrink,220.7244711
R01,adham-shrink,408.80187
R01,adham-shrink,282.8495556
R01,adham-shrink,515.5998109
R01,adham-shrink,438.3990241
R01,adham-shrink,211.6721043
R01,adham-shrink,715.2923704
R01,adham-shrink,328.2510251
R01,adham-shrink,241.2134169
R01,adham-shrink,429.8445578
R01,adham-shrink,259.1375721
R01,adham-shrink,666.8527944
R01,adham-shrink,734.7287059
R01,adham-shrink,717.5120077
R01,adham-shrink,475.0415289
R01,adham-shrink,513.3141112
R01,adham-shrink,647.0970637
R01,adham-shrink,374.4192203
R01,qin-wrapping,420.1755529
R01,qin-wrapping,492.1514223
R01,qin-wrapping,449.8631018
R01,qin-wrapping,524.103387
R01,qin-wrapping,395.5230151
R01,qin-wrapping,539.6583461
R01,qin-wrapping,348.1564531
R01,qin-wrapping,471.5322121
R01,qin-wrapping,438.6995675
R01,qin-wrapping,290.1175209
R01,qin-wrapping,400.4179889
R01,qin-wrapping,565.3180541
R01,qin-wrapping,547.5267059
R01,qin-wrapping,327.1856055
R01,qin-wrapping,466.3676136
R01,qin-wrapping,554.0361168
R01,qin-wrapping,365.7703193
R01,qin-wrapping,312.8387924
R01,qin-wrapping,419.7964739
R01,qin-wrapping,313.6822185
R01,qin-wrapping,535.6347252
R01,qin-wrapping,485.6894897
R01,qin-wrapping,365.4693376
R01,qin-wrapping,453.4841168
R01,qin-wrapping,366.2371083
R01,qin-reflection,350.3538313
R01,qin-reflection,372.8053386
R01,qin-reflection,698.4193782
R01,qin-reflection,564.2039825
R01,qin-reflection,332.5722942
R01,qin-reflection,233.9193113
R01,qin-reflection,671.3340401
R01,qin-reflection,401.1096946
R01,qin-reflection,230.0187725
R01,qin-reflection,431.3927443
R01,qin-reflection,754.400663
R01,qin-reflection,324.4980685
R01,qin-reflection,276.5632441
R01,qin-reflection,488.5740738
R01,qin-reflection,241.1131718
R01,qin-reflection,460.0610069
R01,qin-reflection,322.6957141
R01,qin-reflection,650.5600167
R01,qin-reflection,623.2024953
R01,qin-reflection,239.8428541
R01,qin-reflection,720.0396451
R01,qin-reflection,519.8668247
R01,qin-reflection,553.5678869
R01,qin-reflection,656.3005477
R01,qin-reflection,746.3203489
R01,qin-boundary-repair,265.98318
R01,qin-boundary-repair,402.1944419
R01,qin-boundary-repair,485.9192582
R01,qin-boundary-repair,273.3898005
R01,qin-boundary-repair,416.6933817
R01,qin-boundary-repair,721.7011005
R01,qin-boundary-repair,371.2693505
R01,qin-boundary-repair,232.2494436
R01,qin-boundary-repair,221.565864
R01,qin-boundary-repair,260.7807407
R01,qin-boundary-repair,463.3641318
R01,qin-boundary-repair,244.0225042
R01,qin-boundary-repair,292.0963486
R01,qin-boundary-repair,237.6895788
R01,qin-boundary-repair,484.4526493
R01,qin-boundary-repair,229.2469031
R01,qin-boundary-repair,744.4442697
R01,qin-boundary-repair,606.7909641
R01,qin-boundary-repair,669.2449185
R01,qin-boundary-repair,270.2715633
R01,qin-boundary-repair,554.3657311
R01,qin-boundary-repair,599.36067
R01,qin-boundary-repair,662.1739723
R01,qin-boundary-repair,454.0715982
R01,qin-boundary-repair,655.268694
R02,juarez-centroide,0
R02,juarez-centroide,7348.450427
R02,juarez-centroide,7076.610946
R02,juarez-centroide,7046.324464
R02,juarez-centroide,7047.520367
R02,juarez-centroide,8162.939397
R02,juarez-centroide,0
R02,juarez-centroide,0
R02,juarez-centroide,0
R02,juarez-centroide,0
R02,juarez-centroide,7047.968463
R02,juarez-centroide,7154.126746
R02,juarez-centroide,7038.586837
R02,juarez-centroide,0
R02,juarez-centroide,7140.033072
R02,juarez-centroide,7047.953076
R02,juarez-centroide,0
R02,juarez-centroide,6993.691061
R02,juarez-centroide,7040.296906
R02,juarez-centroide,0
R02,juarez-centroide,7043.193808
R02,juarez-centroide,0
R02,juarez-centroide,0
R02,juarez-centroide,7254.710881
R02,juarez-centroide,0
R02,adham-clamp,7048.058428
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055718
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055801
R02,adham-clamp,7048.058595
R02,adham-clamp,7048.055707
R02,adham-clamp,7048.057681
R02,adham-clamp,7048.055707
R02,adham-clamp,7048.055782
R02,adham-clamp,7048.055844
R02,adham-clamp,7048.060685
R02,adham-clamp,7048.055729
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.057384
R02,adham-clamp,7048.055706
R02,adham-clamp,7048.055816
R02,adham-clamp,7048.058629
R02,adham-clamp,7048.055738
R02,adham-shrink,7048.055706
R02,adham-shrink,7048.057652
R02,adham-shrink,7048.055707
R02,adham-shrink,7048.055719
R02,adham-shrink,7048.064054
R02,adham-shrink,7048.055706
R02,adham-shrink,7048.055717
R02,adham-shrink,7048.055941
R02,adham-shrink,7048.055707
R02,adham-shrink,7048.055706
R02,adham-shrink,7048.055706
R02,adham-shrink,7048.0852
R02,adham-shrink,7048.055707
R02,adham-shrink,7048.055707
R02,adham-shrink,7048.059141
R02,adham-shrink,7048.055754
R02,adham-shrink,7048.055706
R02,adham-shrink,7048.055757
R02,adham-shrink,7048.055708
R02,adham-shrink,7048.055706
R02,adham-shrink,7048.075302
R02,adham-shrink,7048.055776
R02,adham-shrink,7048.055715
R02,adham-shrink,7048.055707
R02,adham-shrink,7048.05849
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,7606.386782
R02,qin-wrapping,0
R02,qin-wrapping,8266.173783
R02,qin-wrapping,8901.495519
R02,qin-wrapping,0
R02,qin-wrapping,8089.095184
R02,qin-wrapping,7708.13417
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,8098.941772
R02,qin-wrapping,0
R02,qin-wrapping,0
R02,qin-wrapping,7670.986338
R02,qin-wrapping,0
